             f                  xj                  yj                  zj               Zxx_real            Zxx_imag            Error              Zxy_real            Zxy_imag              Error              Zyx_real            Zyx_imag             Error              Zyy_real            Zyy_imag             Error
    1.0000000000E+01    3.5000000000E+04   -3.0625000000E+04    0.0000000000E+00   -1.2563681006E-03   -3.0991818978E-03    2.8385951339E-03    6.0122606538E-02   -7.2846474032E-02    2.8385951339E-03   -6.3838701708E-02    7.0453236063E-02    2.8385951339E-03   -1.7214346127E-03    5.7693255042E-04    2.8385951339E-03
    1.0000000000E+01   -3.5000000000E+04   -2.6250000000E+04    0.0000000000E+00   -4.7210856448E-03    2.1235597182E-03    2.8385944806E-03    6.3853168938E-02   -6.9850058299E-02    2.8385944806E-03   -6.2005783903E-02    7.2507630483E-02    2.8385944806E-03    4.2866729288E-04    3.2646854911E-03    2.8385944806E-03
    1.0000000000E+01   -3.0625000000E+04   -2.6250000000E+04    0.0000000000E+00   -1.9202741513E-03    3.0669196268E-04    2.8385922034E-03    6.3309279739E-02   -7.1337933265E-02    2.8385922034E-03   -6.1469436480E-02    7.1648964894E-02    2.8385922034E-03    6.1762189134E-04   -8.0428529441E-04    2.8385922034E-03
    1.0000000000E+01   -2.6250000000E+04   -2.6250000000E+04    0.0000000000E+00   -1.4705566341E-03    1.0805745040E-03    2.8386020412E-03    6.0495266940E-02   -7.2930063832E-02    2.8386020412E-03   -6.2842693250E-02    7.0973561808E-02    2.8386020412E-03   -1.9983928810E-03   -1.4490061822E-03    2.8386020412E-03
    1.0000000000E+01   -2.1875000000E+04   -2.6250000000E+04    0.0000000000E+00    7.0942331417E-04   -3.1253707743E-03    2.8384569866E-03    6.1795974063E-02   -6.7003119600E-02    2.8384569866E-03   -6.5733526855E-02    7.1984822246E-02    2.8384569866E-03    1.8995943707E-03    7.6297844500E-04    2.8384569866E-03
    1.0000000000E+01   -1.7500000000E+04   -2.6250000000E+04    0.0000000000E+00   -2.7693226810E-03   -1.1146556621E-03    2.8364473690E-03    6.4228851346E-02   -7.3810190539E-02    2.8364473690E-03   -6.3631677174E-02    7.1745846964E-02    2.8364473690E-03   -1.0862823441E-03    6.5415747052E-04    2.8364473690E-03
    1.0000000000E+01   -1.3125000000E+04   -2.6250000000E+04    0.0000000000E+00    6.7864753375E-05   -4.2720404774E-04    2.8986763339E-03    6.3992719736E-02   -7.1343010553E-02    2.8986763339E-03   -6.4269219837E-02    6.9212600900E-02    2.8986763339E-03    3.1664484165E-03   -1.0564002753E-03    2.8986763339E-03
    1.0000000000E+01   -8.7500000000E+03   -2.6250000000E+04    0.0000000000E+00    1.8865832081E-03    2.2218951863E-03    2.9555438491E-03    6.4157150205E-02   -7.7338819448E-02    2.9555438491E-03   -6.3607379730E-02    7.5113719793E-02    2.9555438491E-03   -9.5578019711E-05    7.0457096722E-04    2.9555438491E-03
    1.0000000000E+01   -4.3750000000E+03   -2.6250000000E+04    0.0000000000E+00   -1.7582719205E-03    2.6224397649E-03    2.8461913426E-03    6.8943862547E-02   -7.1741295878E-02    2.8461913426E-03   -6.2308241889E-02    7.3447738703E-02    2.8461913426E-03   -1.4810872247E-03    1.1609954708E-03    2.8461913426E-03
    1.0000000000E+01    0.0000000000E+00   -2.6250000000E+04    0.0000000000E+00   -2.1353148680E-03   -1.9678801683E-05    2.8381002342E-03    6.3655007999E-02   -7.3556833328E-02    2.8381002342E-03   -5.9910072538E-02    6.9417638311E-02    2.8381002342E-03    5.4954004908E-04   -1.7274569148E-03    2.8381002342E-03
