             f                  xj                  yj                  zj               Zxx_real            Zxx_imag            Error              Zxy_real            Zxy_imag              Error              Zyx_real            Zyx_imag             Error              Zyy_real            Zyy_imag             Error
    1.0000000000E+02   -1.2500000000E+04   -1.5000000000E+04    0.0000000000E+00    2.5826294959E-03   -9.3225127927E-03    8.5648424847E-03    1.9551222211E-01   -1.9343203505E-01    8.5648424847E-03   -2.0808959105E-01    2.0790333002E-01    8.5648424847E-03    5.6100609380E-03    2.5604865427E-03    8.5648424847E-03
    1.0000000000E+02   -1.0000000000E+04   -1.5000000000E+04    0.0000000000E+00   -8.2440930265E-03   -3.8707046808E-03    8.5648425006E-03    2.0364490579E-01   -2.1393294186E-01    8.5648425006E-03   -2.0152371107E-01    2.0805437687E-01    8.5648425006E-03   -3.3510648824E-03    1.9502653920E-03    8.5648425006E-03
    1.0000000000E+02   -7.5000000000E+03   -1.5000000000E+04    0.0000000000E+00    5.4694481637E-05   -1.6002469240E-03    8.5648425343E-03    1.9779619179E-01   -2.0270416480E-01    8.5648425343E-03   -1.9784567799E-01    1.9676210172E-01    8.5648425343E-03    9.7288279497E-03   -2.5222843719E-03    8.5648425343E-03
    1.0000000000E+02   -5.0000000000E+03   -1.5000000000E+04    0.0000000000E+00    4.9446325456E-03    7.2494972334E-03    8.5648426429E-03    2.0251288221E-01   -2.1099550491E-01    8.5648426429E-03   -1.9798874389E-01    2.0355897368E-01    8.5648426429E-03    4.4461438878E-05    1.6944055241E-03    8.5648426429E-03
    1.0000000000E+02   -2.5000000000E+03   -1.5000000000E+04    0.0000000000E+00   -5.8304508940E-03    7.7394543113E-03    8.5648426797E-03    2.1740678015E-01   -2.0677386511E-01    8.5648426797E-03   -1.9601536287E-01    2.1271311189E-01    8.5648426797E-03   -4.4197160983E-03    3.2463516652E-03    8.5648426797E-03
    1.0000000000E+02    0.0000000000E+00   -1.5000000000E+04    0.0000000000E+00   -6.4347994950E-03   -3.6013026027E-04    8.5648426863E-03    2.0200969814E-01   -2.1293944582E-01    8.5648426863E-03   -1.9021804848E-01    2.0103470535E-01    8.5648426863E-03    1.8976278230E-03   -5.1283473139E-03    8.5648426863E-03
    1.0000000000E+02    2.5000000000E+03   -1.5000000000E+04    0.0000000000E+00    4.6593534141E-03    2.4591512561E-03    8.5648426796E-03    1.9455192071E-01   -2.0634003150E-01    8.5648426796E-03   -2.0371885435E-01    2.0184258615E-01    8.5648426796E-03   -7.3713181777E-04    3.1630894862E-03    8.5648426796E-03
    1.0000000000E+02    5.0000000000E+03   -1.5000000000E+04    0.0000000000E+00    5.8511524142E-03   -4.1620710270E-03    8.5648426060E-03    2.0225391897E-01   -2.0755144083E-01    8.5648426060E-03   -2.0560808837E-01    2.0918711841E-01    8.5648426060E-03   -4.3010713286E-03    2.5461938983E-03    8.5648426060E-03
    1.0000000000E+02    7.5000000000E+03   -1.5000000000E+04    0.0000000000E+00   -5.4350880321E-03   -4.3815126722E-03    8.5648425343E-03    1.9941506957E-01   -1.9906019431E-01    8.5648425343E-03   -1.9037723984E-01    2.0816740964E-01    8.5648425343E-03   -2.0728881893E-03   -1.1072675255E-02    8.5648425343E-03
    1.0000000000E+02    1.0000000000E+04   -1.5000000000E+04    0.0000000000E+00   -7.7542115342E-03    1.4289545070E-02    8.5648424919E-03    2.0326783001E-01   -2.0416492920E-01    8.5648424919E-03   -2.0073248996E-01    2.1479939880E-01    8.5648424919E-03   -1.5559973806E-02   -1.0678750363E-02    8.5648424919E-03
    1.0000000000E+02    1.2500000000E+04   -1.5000000000E+04    0.0000000000E+00   -3.6901495786E-03   -1.9955809398E-03    8.5648424847E-03    2.0043486028E-01   -1.9774906858E-01    8.5648424847E-03   -2.0410336732E-01    2.1345552415E-01    8.5648424847E-03   -3.2438321425E-03   -5.2773470247E-03    8.5648424847E-03
    1.0000000000E+02    1.5000000000E+04   -1.5000000000E+04    0.0000000000E+00    7.7872870412E-03   -8.7555081221E-03    8.5648424757E-03    2.0508882866E-01   -1.8984374890E-01    8.5648424757E-03   -1.9493942373E-01    2.1045033655E-01    8.5648424757E-03    4.1749194462E-03    4.4751046676E-03    8.5648424757E-03
    1.0000000000E+02    1.7500000000E+04   -1.5000000000E+04    0.0000000000E+00    5.6537734197E-03   -9.6560036583E-03    8.5648424712E-03    2.0346717463E-01   -1.9993587012E-01    8.5648424712E-03   -1.9566382738E-01    2.0958237861E-01    8.5648424712E-03    1.6598986853E-03   -5.5465600635E-03    8.5648424712E-03
    1.0000000000E+02    2.0000000000E+04   -1.5000000000E+04    0.0000000000E+00    7.3976174678E-03   -3.2108482539E-04    8.5648424673E-03    1.9461873648E-01   -2.1208593153E-01    8.5648424673E-03   -2.0197351985E-01    2.0485250135E-01    8.5648424673E-03   -3.5863676846E-03    1.6095314096E-03    8.5648424673E-03
    1.0000000000E+02   -2.0000000000E+04   -1.2500000000E+04    0.0000000000E+00    2.7301055820E-03   -1.9466708418E-03    8.5648424693E-03    1.9773887796E-01   -2.1068828700E-01    8.5648424693E-03   -1.9696412376E-01    2.0360843336E-01    8.5648424693E-03   -6.3070536446E-03   -6.6870516987E-03    8.5648424693E-03
    1.0000000000E+02   -1.7500000000E+04   -1.2500000000E+04    0.0000000000E+00    3.8500756605E-03   -1.3320863686E-03    8.5648424743E-03    2.0341928768E-01   -2.0512408596E-01    8.5648424743E-03   -1.9188756850E-01    2.1346762315E-01    8.5648424743E-03    9.3902835440E-03   -2.8824350109E-03    8.5648424743E-03
    1.0000000000E+02   -1.5000000000E+04   -1.2500000000E+04    0.0000000000E+00   -9.8465850818E-04    5.2807281001E-03    8.5648424860E-03    1.9648990099E-01   -2.1059435769E-01    8.5648424860E-03   -1.8553417323E-01    2.1525988326E-01    8.5648424860E-03    3.2184217797E-05    5.7926275966E-03    8.5648424860E-03
    1.0000000000E+02   -1.2500000000E+04   -1.2500000000E+04    0.0000000000E+00    8.2640865814E-03    6.3698395068E-03    8.5648425035E-03    1.9623349787E-01   -2.0393935054E-01    8.5648425035E-03   -2.0287328876E-01    2.1430358162E-01    8.5648425035E-03    2.5033353379E-03   -1.0261477143E-02    8.5648425035E-03
    1.0000000000E+02   -1.0000000000E+04   -1.2500000000E+04    0.0000000000E+00   -5.7627988491E-03   -1.2663286726E-02    8.5648424394E-03    1.9317748519E-01   -2.0767615731E-01    8.5648424394E-03   -1.8806652997E-01    2.1786362841E-01    8.5648424394E-03   -1.5221532950E-03    5.3409156349E-03    8.5648424394E-03
    1.0000000000E+02   -7.5000000000E+03   -1.2500000000E+04    0.0000000000E+00    1.0410188949E-02    1.0450573179E-03    8.5648424969E-03    1.9341647776E-01   -1.9895244570E-01    8.5648424969E-03   -2.0548118606E-01    2.0520586047E-01    8.5648424969E-03   -6.9664190556E-04    5.7578376298E-03    8.5648424969E-03
    1.0000000000E+02   -5.0000000000E+03   -1.2500000000E+04    0.0000000000E+00    3.6569916382E-03    4.5891906375E-03    8.5648443154E-03    1.9829794350E-01   -2.0652510650E-01    8.5648443154E-03   -2.0324531188E-01    1.9828833121E-01    8.5648443154E-03   -7.6022211705E-03   -2.4421856614E-03    8.5648443154E-03
