             f                  xj                  yj                  zj               Zxx_real            Zxx_imag            Error              Zxy_real            Zxy_imag              Error              Zyx_real            Zyx_imag             Error              Zyy_real            Zyy_imag             Error
    1.0000000000E-01   -1.5000000000E+05   -1.7500000000E+05    0.0000000000E+00    4.2767997850E-04   -5.2516348765E-05    2.7585068247E-04    6.4994923481E-03   -6.4895669314E-03    2.7585068247E-04   -6.4351006460E-03    6.4174655587E-03    2.7585068247E-04   -1.2030832750E-06    1.0070188812E-04    2.7585068247E-04
    1.0000000000E-01   -1.2500000000E+05   -1.7500000000E+05    0.0000000000E+00    1.8780903384E-05   -4.7536321673E-05    2.7626076484E-04    6.2783342026E-03   -6.2244732452E-03    2.7626076484E-04   -6.3620062774E-03    6.3826498276E-03    2.7626076484E-04    1.4697238320E-04    7.2799162850E-05    2.7626076484E-04
    1.0000000000E-01   -1.0000000000E+05   -1.7500000000E+05    0.0000000000E+00   -1.8850889983E-06    8.3545564892E-05    2.7604659080E-04    6.5076437193E-03   -6.4691264805E-03    2.7604659080E-04   -6.3021271413E-03    6.4157867838E-03    2.7604659080E-04   -3.6757267663E-05    2.5036337028E-04    2.7604659080E-04
    1.0000000000E-01   -7.5000000000E+04   -1.7500000000E+05    0.0000000000E+00   -1.3753320099E-04   -1.2329934747E-04    2.7395199336E-04    6.3808845186E-03   -6.4385209363E-03    2.7395199336E-04   -6.0044142001E-03    6.6094002472E-03    2.7395199336E-04    3.0256224438E-05    4.7536602129E-05    2.7395199336E-04
    1.0000000000E-01   -5.0000000000E+04   -1.7500000000E+05    0.0000000000E+00   -1.3472025151E-04    6.3438324337E-05    2.6898395108E-04    6.0997016018E-03   -6.6599769615E-03    2.6898395108E-04   -5.9595353505E-03    6.6360145611E-03    2.6898395108E-04    1.1707070294E-05   -3.2880905799E-04    2.6898395108E-04
    1.0000000000E-01   -2.5000000000E+04   -1.7500000000E+05    0.0000000000E+00   -1.2489418977E-05    2.8988281940E-04    2.6672515300E-04    6.3623404226E-03   -6.2396516952E-03    2.6672515300E-04   -6.3088787630E-03    6.0906871622E-03    2.6672515300E-04   -2.5241055247E-05   -3.5789780328E-04    2.6672515300E-04
    1.0000000000E-01    0.0000000000E+00   -1.7500000000E+05    0.0000000000E+00   -1.2430994977E-04   -1.0135184643E-04    2.6613333126E-04    6.3939109830E-03   -6.4522754260E-03    2.6613333126E-04   -6.1772775519E-03    6.6122020121E-03    2.6613333126E-04    1.9055896292E-04   -2.3852805771E-04    2.6613333126E-04
    1.0000000000E-01    2.5000000000E+04   -1.7500000000E+05    0.0000000000E+00   -3.3109764230E-06   -3.0632975994E-04    2.6672515300E-04    6.1207475837E-03   -6.3049090978E-03    2.6672515300E-04   -6.2097405358E-03    6.4250590014E-03    2.6672515300E-04    1.9776664779E-04    3.9261816206E-04    2.6672515300E-04
    1.0000000000E-01    5.0000000000E+04   -1.7500000000E+05    0.0000000000E+00   -1.7183769888E-04    2.0848085016E-04    2.6980870990E-04    6.0250385297E-03   -6.6061134053E-03    2.6980870990E-04   -5.9769523600E-03    6.3305542859E-03    2.6980870990E-04   -1.5781418801E-04   -4.3009193077E-04    2.6980870990E-04
    1.0000000000E-01    7.5000000000E+04   -1.7500000000E+05    0.0000000000E+00   -1.3634600314E-04   -4.8801299000E-05    2.7395199336E-04    6.4494984673E-03   -6.7396177193E-03    2.7395199336E-04   -6.1595903674E-03    6.2334268810E-03    2.7395199336E-04    1.8919271285E-04   -2.5562163484E-04    2.7395199336E-04
    1.0000000000E-01    1.0000000000E+05   -1.7500000000E+05    0.0000000000E+00   -1.8209028697E-04    1.2833901104E-04    2.7618893890E-04    6.6794525858E-03   -6.9037145442E-03    2.7618893890E-04   -6.5626455181E-03    6.6776576303E-03    2.7618893890E-04   -2.1769970253E-04    8.4589453806E-05    2.7618893890E-04
    1.0000000000E-01    1.2500000000E+05   -1.7500000000E+05    0.0000000000E+00   -1.5760855514E-04   -1.4364191215E-04    2.7626076484E-04    6.2931078460E-03   -7.0844750365E-03    2.7626076484E-04   -6.5880032730E-03    7.0214696529E-03    2.7626076484E-04   -1.2771982203E-05   -3.0662852359E-05    2.7626076484E-04
    1.0000000000E-01    1.5000000000E+05   -1.7500000000E+05    0.0000000000E+00   -7.9415506866E-05    2.2749921213E-04    2.7546875344E-04    6.4129994714E-03   -6.9130514357E-03    2.7546875344E-04   -6.0478079889E-03    6.3171706491E-03    2.7546875344E-04   -5.4879349219E-05   -2.0989475058E-04    2.7546875344E-04
    1.0000000000E-01    1.7500000000E+05   -1.7500000000E+05    0.0000000000E+00    1.8638029857E-04    2.2008421575E-04    2.7307321626E-04    6.0550448499E-03   -6.7299159697E-03    2.7307321626E-04   -6.2710314180E-03    6.9428955969E-03    2.7307321626E-04   -2.2013444697E-04   -1.3176997539E-04    2.7307321626E-04
    1.0000000000E-01    2.0000000000E+05   -1.7500000000E+05    0.0000000000E+00   -1.0970757172E-04   -3.0541827948E-04    2.7119278955E-04    6.0517209581E-03   -6.6892083140E-03    2.7119278955E-04   -6.4093640980E-03    6.4412036635E-03    2.7119278955E-04   -1.6290363112E-04    5.0992161918E-05    2.7119278955E-04
    1.0000000000E-01   -2.0000000000E+05   -1.5000000000E+05    0.0000000000E+00   -4.5552882733E-04    1.8614596599E-04    2.7165159597E-04    6.4097521131E-03   -6.3935783679E-03    2.7165159597E-04   -6.2683571293E-03    6.6424658641E-03    2.7165159597E-04    2.4961745658E-05    3.1225503338E-04    2.7165159597E-04
    1.0000000000E-01   -1.7500000000E+05   -1.5000000000E+05    0.0000000000E+00   -1.7745052020E-04    2.4991724130E-05    2.7585068247E-04    6.4272609228E-03   -6.6372249846E-03    2.7585068247E-04   -6.3019943666E-03    6.7075857519E-03    2.7585068247E-04    5.9924119262E-05   -7.7282535895E-05    2.7585068247E-04
